"","rgi_id","o1region","o2region","anlys_id","cenlon","cenlat","utm_zone","area_km2","conn_lvl","surge_type","term_type","glac_name","is_rgi6","termlon","termlat","zmin_m","zmax_m","zmed_m","zmean_m","slope_deg","aspect_deg","aspect_sec","dem_source","lmax_m"
"369","RGI2000-v7.0-G-13-14410",13,"13-02",839809,74.9053657798013,38.985756,43,0.628779175186797,0,2,9,"",0,74.9051648336078,38.9910585987303,4473.5635,5133.597,4924.3945,4886.778,28.008663,348.585723876953,1,"COPDEM30",1488
"370","RGI2000-v7.0-G-13-14411",13,"13-02",839714,74.8938598411798,38.983032,43,0.490871235445773,0,2,9,"",0,74.9000360770516,38.9873151226331,4702.3594,5499.0215,5197.9585,5155.6084,29.033407,41.0087,2,"COPDEM30",1507
"371","RGI2000-v7.0-G-13-14415",13,"13-02",839611,74.8807464191124,38.987773,43,2.45257237863422,0,2,9,"",0,74.8696966103665,38.9997030822659,4228.4375,5607.716,4899.7075,4906.043,26.94953,346.74932384491,1,"COPDEM30",3178
"372","RGI2000-v7.0-G-13-14416",13,"13-02",839538,74.8713749200721,38.9855655,43,0.832337335795232,0,2,9,"",0,74.8692835043797,38.9949931954664,4320.338,5431.144,4863.9443,4875.789,29.376259,349.276240348816,1,"COPDEM30",2189
"373","RGI2000-v7.0-G-13-14417",13,"13-02",839474,74.8605569144506,38.986599,43,2.68494391267898,0,3,9,"CN5Y663O0020",0,74.8624056445499,38.9988129219825,4242.387,5490.0635,4947.654,4884.2812,27.89136,357.054084300995,1,"COPDEM30",3368
"374","RGI2000-v7.0-G-13-14418",13,"13-02",839366,74.8452483219814,38.9846085,43,2.07627614545654,0,2,9,"",0,74.8539957293192,38.9937132217238,4360.551,5471.658,4837.6543,4847.656,26.616705,7.0192785,1,"COPDEM30",2310
"375","RGI2000-v7.0-G-13-14448",13,"13-02",839104,74.8062004545455,39.01147,43,15.4216604077954,0,3,9,"CN5Y663K0019",0,74.78254752599,39.0328236705253,4486.3354,5628.2666,5187.5303,5128.596,11.735579,4.4273205,1,"COPDEM90",9904
"376","RGI2000-v7.0-G-13-14464",13,"13-02",839269,74.8314971185832,39.0638545,43,2.59906110514316,0,3,9,"CN5Y663O0031",0,74.8396908116995,39.0724581617742,4408.62,5466.726,4803.8086,4834.7783,26.638908,12.53048,1,"COPDEM30",2893
"377","RGI2000-v7.0-G-13-14476",13,"13-02",839235,74.8259554128205,39.098827,43,3.14482878629408,0,3,9,"CN5Y663O0037",0,74.842230989011,39.1085036717843,4244.709,5623.4224,4856.7773,4845.3057,29.75583,18.881659,1,"COPDEM30",3539
"378","RGI2000-v7.0-G-13-14477",13,"13-02",839142,74.8123328663664,39.102152,43,1.53465567316366,0,3,9,"CN5Y663O0038",0,74.8253902546508,39.1065667317077,4474.703,5618.2603,4849.008,4898.167,27.845034,32.559727,2,"COPDEM30",2267
"379","RGI2000-v7.0-G-13-14478",13,"13-02",839094,74.8039548427499,39.108669,43,0.682836288494346,0,3,9,"",0,74.8005838661471,39.1138049895069,4376.838,5092.8833,4687.1357,4686.183,32.85613,321.019790649414,8,"COPDEM30",1291
"380","RGI2000-v7.0-G-13-14489",13,"13-02",839009,74.7899672098557,39.112513,43,4.87740720283182,0,3,9,"CN5Y663P0017",0,74.792153008859,39.1311823374875,4077.004,5618.5654,4745.491,4758.5312,27.525415,22.31384,1,"COPDEM30",4707
"381","RGI2000-v7.0-G-13-14491",13,"13-02",838968,74.7831870139228,39.084716,43,13.6322988579103,0,3,9,"CN5Y663K0008",0,74.7384364033227,39.0726641661793,4562.095,5828.5093,5298.6094,5267.347,20.218643,319.99528503418,8,"COPDEM90",7233
"382","RGI2000-v7.0-G-13-14538",13,"13-02",838751,74.7476693386547,39.177891,43,0.808826082732348,0,2,9,"",0,74.7425192530351,39.1815109878533,4236.215,4949.8125,4529.1733,4541.65,34.851345,338.377849578857,1,"COPDEM30",990
"383","RGI2000-v7.0-G-13-14542",13,"13-02",838660,74.7343187107969,39.176477,43,1.93714317873801,0,2,9,"",0,74.7404561896769,39.1878382345218,4017.242,5580.2725,4722.4146,4735.8477,31.439404,12.283337,1,"COPDEM30",3184
"384","RGI2000-v7.0-G-13-14544",13,"13-02",838554,74.7180524516642,39.173728,43,1.01167412211342,0,2,9,"",0,74.7160309781991,39.1843789081977,4095.788,5831.514,4799.2715,4901.12,37.12632,3.7732828,1,"COPDEM30",2467
"385","RGI2000-v7.0-G-13-14545",13,"13-02",838394,74.6980662460212,39.1784015,43,3.72333210606744,0,3,9,"",0,74.7180624440385,39.191904866435,3934.8738,5753.6606,4611.8286,4639.918,32.29693,13.922699,1,"COPDEM30",4003
"386","RGI2000-v7.0-G-13-14549",13,"13-02",838423,74.7017627979094,39.145389,43,13.5934848292841,0,2,9,"",0,74.6402386280597,39.1396389978199,4413.895,6036.5635,5343.2793,5284.401,24.059801,330.602533340454,8,"COPDEM90",9601
"387","RGI2000-v7.0-G-13-14552",13,"13-02",838197,74.668498175813,39.187546,43,0.775291321703379,0,3,9,"",0,74.6748404003739,39.189205304709,5180.936,5897.303,5550.3945,5568.162,33.57069,71.00189,3,"COPDEM30",1233
"388","RGI2000-v7.0-G-13-14553",13,"13-02",838190,74.6670948276169,39.1960775,43,1.02434976176317,0,3,9,"",0,74.6844667138386,39.1976758363317,4345.8257,5457.96,4785.909,4815.8115,31.047367,45.978992,2,"COPDEM30",2130
"389","RGI2000-v7.0-G-13-14555",13,"13-02",838123,74.6592759506849,39.211363,43,0.55129997896199,0,3,9,"",0,74.6556501525254,39.2159071960246,4196.95,5117.012,4691.647,4685.458,36.84204,325.563938140869,8,"COPDEM30",1295
"390","RGI2000-v7.0-G-13-14556",13,"13-02",838191,74.6674630665964,39.2168565,43,0.737536741960573,0,3,9,"",0,74.6630238420286,39.2223719189744,4182.81,5040.5156,4729.9995,4668.2393,31.770721,322.437431335449,8,"COPDEM30",1822
"391","RGI2000-v7.0-G-13-14564",13,"13-02",838407,74.7004074127907,39.192056,43,0.826700520658128,0,3,9,"",0,74.7038618877288,39.1932958078215,4055.502,5144.4424,4185.9287,4308.6694,17.309988,60.56461,2,"COPDEM30",2863
"392","RGI2000-v7.0-G-13-14589",13,"13-02",838034,74.6460509517666,39.214221,43,3.78550702995708,0,3,9,"",0,74.6598577520005,39.2373125932978,3868.9043,5780.4243,4416.6494,4528.461,22.483036,335.884614944458,8,"COPDEM30",6028
"393","RGI2000-v7.0-G-13-14594",13,"13-02",837759,74.6120953635339,39.2222615,43,6.39984915218089,0,3,9,"",0,74.6236954852159,39.2433698138162,3872.6465,5743.03,4642.088,4650.1416,26.73342,18.450603,1,"COPDEM30",5647
"394","RGI2000-v7.0-G-13-14618",13,"13-02",836810,74.4868876371795,39.259224,43,4.75935846438654,0,2,9,"",0,74.4842523631766,39.2789529753669,3900.3528,5569.0938,4258.84,4452.611,23.796635,9.424825,1,"COPDEM30",5076
"395","RGI2000-v7.0-G-13-14628",13,"13-02",836431,74.4341984997479,39.25965,43,10.503391750502,0,3,9,"",0,74.477229786626,39.2740134701029,3985.007,5610.198,4554.0874,4579.932,21.603582,26.178547,2,"COPDEM30",8990
"396","RGI2000-v7.0-G-13-14644",13,"13-02",835593,74.3058647898436,39.2559935,43,0.802113217127614,0,2,9,"",0,74.2963722939106,39.2563667465967,4808.688,5595.679,5225.259,5223.2124,27.773031,291.639289855957,7,"COPDEM30",1857
"397","RGI2000-v7.0-G-13-14650",13,"13-02",835440,74.2762481787798,39.267642,43,8.23048047839139,0,2,9,"",0,74.2812112726126,39.2494551129781,4613.04,6086.939,5306.735,5285.6357,23.734165,136.87244,4,"COPDEM30",5391
"398","RGI2000-v7.0-G-13-14676",13,"13-02",835642,74.3160625090012,39.2802105,43,4.41877119037185,0,3,9,"",0,74.3446376933633,39.2925992787344,4231.45,5899.9307,5105.294,5047.7456,24.417624,11.145308,1,"COPDEM30",5016
"399","RGI2000-v7.0-G-13-14677",13,"13-02",835847,74.349143733081,39.293231,43,8.62471894892955,0,3,9,"",0,74.3516923972589,39.3296085326187,3912.081,5886.5156,4403.3506,4582.4766,19.326965,21.908392,1,"COPDEM30",9567
"400","RGI2000-v7.0-G-13-14715",13,"13-02",836027,74.3802213974359,39.279622,43,2.25178230281195,0,3,9,"",0,74.3589580913592,39.2904708157391,4328.13,5452.306,4860.1035,4873.9897,21.522625,338.094871520996,1,"COPDEM30",3836
"401","RGI2000-v7.0-G-13-14801",13,"13-02",834181,74.0331578769157,39.518696,43,0.695990761683799,0,1,9,"CN5Y665J0004",0,74.041785099554,39.5143434282308,4463.4067,4899.408,4646.7607,4649.1636,17.62633,71.74752,3,"COPDEM30",1829
"402","RGI2000-v7.0-G-13-14814",13,"13-02",833814,73.9668106662717,39.494482,43,3.9231442900643,0,2,9,"CN5Y665J0001",0,73.9810031385069,39.4796647657598,4399.0425,5271.39,4872.1387,4862.6597,21.657883,135.82932,4,"COPDEM30",3430
"403","RGI2000-v7.0-G-13-14818",13,"13-02",833664,73.9425744603064,39.501997,43,5.33208835917359,0,2,9,"CN5Y666A0012",0,73.9381458765829,39.5159428907706,3901.1707,5468.553,4524.1104,4577.0034,30.84261,346.58118724823,1,"COPDEM30",3436
"404","RGI2000-v7.0-G-13-14829",13,"13-02",832998,73.8414049780385,39.4853425,43,53.0193025909104,0,2,9,"",0,73.7998511406274,39.5089978925303,3605.2717,6308.9326,4632.474,4699.9727,26.228458,0.36880553,1,"COPDEM90",15749
"405","RGI2000-v7.0-G-13-14842",13,"13-02",831465,73.6391468027404,39.4515675,43,6.3134463104494,0,1,9,"",0,73.6599790255288,39.4304829264808,4373.0054,6235.816,5251.871,5163.4155,23.109426,142.75949,4,"COPDEM30",6609
"406","RGI2000-v7.0-G-13-14843",13,"13-02",831296,73.617604169009,39.443569,43,4.22993871434029,0,1,9,"CN5Y665H0006",0,73.6327813857876,39.4250852771482,4503.0386,6355.979,5419.1294,5408.7817,30.605928,143.95465,4,"COPDEM30",5248
"407","RGI2000-v7.0-G-13-14888",13,"13-02",829494,73.3898429721443,39.4885975,43,1.61915380842695,0,2,9,"",0,73.4066214489034,39.49771398205,4069.0178,5336.764,4542.641,4554.184,24.904833,357.115576982498,1,"COPDEM30",3259
"408","RGI2000-v7.0-G-13-14903",13,"13-02",829373,73.3743368223455,39.445755,43,3.51841716717223,0,1,9,"",0,73.3633651389986,39.4589444007792,4345.6025,5106.5864,4625.408,4651.0894,20.721003,344.487335205078,1,"COPDEM30",3369
"409","RGI2000-v7.0-G-13-14906",13,"13-02",829639,73.4124061038552,39.461957,43,2.58632948742466,0,2,9,"",0,73.4137371347496,39.4715609711747,4314.9326,5156.6943,4633.7456,4664.4004,22.423471,4.533271,1,"COPDEM30",2932
"410","RGI2000-v7.0-G-13-14907",13,"13-02",829728,73.4246816909222,39.460144,43,2.75453577091128,0,1,9,"",0,73.4212309226436,39.4706804899756,4291.83,5424.75,4809.042,4808.204,24.539759,347.117146492004,1,"COPDEM30",3357
"411","RGI2000-v7.0-G-13-14908",13,"13-02",830077,73.4736664669711,39.4453165,43,10.1300539274787,0,3,9,"",0,73.4579863918169,39.4198241772616,4465.918,6223.582,5404.6772,5367.9395,23.732075,235.28231048584,6,"COPDEM30",7142
"412","RGI2000-v7.0-G-13-14913",13,"13-02",830977,73.5839335465806,39.43371,43,40.2516325630895,0,3,9,"",0,73.4861087358799,39.4044040048702,4437.7485,6578.7856,5571.5283,5445.463,21.894798,183.539840698242,5,"COPDEM90",14897
"413","RGI2000-v7.0-G-13-14922",13,"13-02",831603,73.6572083653708,39.5140185,43,1.38064321505737,0,3,9,"",0,73.649084203837,39.519388528766,4135.962,4705.4053,4326.2695,4354.3247,24.91682,357.066873073578,1,"COPDEM30",1656
